Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Owner,Depreciation_Ratio,Age,Fuel_Type__Diesel,Fuel_Type__Petrol
ritz,2014,3.35,5.59,27000,0,40.07155635062611,9,0,1
sx4,2013,4.75,9.54,43000,0,50.20964360587001,10,1,0
ciaz,2017,7.25,9.85,6900,0,26.395939086294412,6,0,1
wagon r,2011,2.85,4.15,5200,0,31.325301204819283,12,0,1
swift,2014,4.6,6.87,42450,0,33.04221251819506,9,1,0
vitara brezza,2018,9.25,9.83,2071,0,5.900305188199391,5,1,0
ciaz,2015,6.75,8.12,18796,0,16.871921182266004,8,0,1
s cross,2015,6.5,8.61,33429,0,24.506387921022064,8,1,0
ciaz,2016,8.75,8.89,20273,0,1.5748031496063055,7,1,0
ciaz,2015,7.45,8.92,42367,0,16.479820627802688,8,1,0
alto 800,2017,2.85,3.6,2135,0,20.833333333333332,6,0,1
ciaz,2015,6.85,10.38,51000,0,34.00770712909442,8,1,0
ciaz,2015,7.5,9.94,15000,0,24.547283702213278,8,0,1
ertiga,2015,6.1,7.71,26000,0,20.881971465629057,8,0,1
dzire,2009,2.25,7.21,77427,0,68.79334257975034,14,0,1
ertiga,2016,7.75,10.79,43000,0,28.17423540315106,7,1,0
ertiga,2015,7.25,10.79,41678,0,32.80815569972196,8,1,0
ertiga,2016,7.75,10.79,43000,0,28.17423540315106,7,1,0
wagon r,2015,3.25,5.09,35500,0,36.149312377210215,8,0,0
sx4,2010,2.65,7.98,41442,0,66.79197994987469,13,0,1
alto k10,2016,2.85,3.95,25000,0,27.848101265822784,7,0,1
ignis,2017,4.9,5.71,2400,0,14.185639229422058,6,0,1
sx4,2011,4.4,8.01,50000,0,45.06866416978776,12,0,1
alto k10,2014,2.5,3.46,45280,0,27.74566473988439,9,0,1
wagon r,2013,2.9,4.41,56879,0,34.240362811791385,10,0,1
swift,2011,3.0,4.99,20000,0,39.879759519038075,12,0,1
swift,2013,4.15,5.87,55138,0,29.301533219761495,10,0,1
swift,2017,6.0,6.49,16200,0,7.550077041602468,6,0,1
alto k10,2010,1.95,3.95,44542,0,50.632911392405056,13,0,1
ciaz,2015,7.45,10.38,45000,0,28.227360308285164,8,1,0
ritz,2012,3.1,5.98,51439,0,48.16053511705686,11,1,0
ritz,2011,2.35,4.89,54200,0,51.94274028629856,12,0,1
swift,2014,4.95,7.49,39000,0,33.91188251001335,9,1,0
ertiga,2014,6.0,9.95,45000,0,39.69849246231155,9,1,0
dzire,2014,5.5,8.06,45000,0,31.761786600496283,9,1,0
sx4,2011,2.95,7.74,49998,0,61.88630490956072,12,0,0
dzire,2015,4.65,7.2,48767,0,35.416666666666664,8,0,1
800,2003,0.35,2.28,127000,0,84.64912280701753,20,0,1
alto k10,2016,3.0,3.76,10079,0,20.212765957446805,7,0,1
sx4,2003,2.25,7.98,62000,0,71.80451127819549,20,0,1
baleno,2016,5.85,7.87,24524,0,25.66709021601017,7,0,1
alto k10,2014,2.55,3.98,46706,0,35.92964824120604,9,0,1
sx4,2008,1.95,7.15,58000,0,72.72727272727273,15,0,1
dzire,2014,5.5,8.06,45780,0,31.761786600496283,9,1,0
omni,2012,1.25,2.69,50000,0,53.53159851301115,11,0,1
ciaz,2014,7.5,12.04,15000,0,37.707641196013284,9,0,1
ritz,2013,2.65,4.89,64532,0,45.807770961145195,10,0,1
wagon r,2006,1.05,4.15,65000,0,74.6987951807229,17,0,1
ertiga,2015,5.8,7.71,25870,0,24.77302204928664,8,0,1
ciaz,2017,7.75,9.29,37000,0,16.576964477933252,6,0,1
